ジャンル,チャンネルID,チャンネル名,登録者数,グループ,過去30日再生数,トレンド動画ID,トレンド動画タイトル,トレンド投稿日,トレンド動画再生数,サムネイルURL
アニメ・漫画解説,UCP-32CzsbLiiIb2LbYk8mZA,Lazy Lie Crazy【レイクレ】,2510000,5万人以上,15173089,VgbUlBW4LCo,【超地獄】北海道で天国地獄旅行したら友情崩壊しましたwww #1,2025-06-02,1205925,https://i.ytimg.com/vi/VgbUlBW4LCo/hqdefault.jpg
アニメ・漫画解説,UCHazKLThRbMyMFu2bVAKhng,ウォーターチャレンジ,3090000,5万人以上,8774556,O3D8CDiZOqg,トララレロトララの都市伝説を検証した結果...【 マイクラ / マインクラフト 】,2025-06-19,1073325,https://i.ytimg.com/vi/O3D8CDiZOqg/hqdefault.jpg
アニメ・漫画解説,UC25f1FyMuKnMapFO5w98N_g,Japan Sci-Fi 【SF解説・創作】,328000,5万人以上,2620179,nDUkdOMHp1M,【ジークアクス】第11話の細かすぎる小ネタ＋重大伏線解説考察：ガチのアムロである理由。正史シャアが…｜機動戦士ガンダムGQuuuuuuX第11話解説考察,2025-06-18,600792,https://i.ytimg.com/vi/nDUkdOMHp1M/hqdefault.jpg
アニメ・漫画解説,UCe505brfgZ0UHE6d43SlqhA,生きて山から帰るには【山岳遭難解説】,187000,5万人以上,2369752,Ag3umfuDRlQ,ガイドの忠告ムシ。無意味な下見で児童8人遭難 富士山小学生遭難事故2023年 【地図とアニメで解説】,2025-06-01,802609,https://i.ytimg.com/vi/Ag3umfuDRlQ/hqdefault.jpg
アニメ・漫画解説,UC8r57bRU8OrpXnLFNC0ym7Q,元气动画俱乐部,652000,5万人以上,1888564,q--XJfvkah8,【更新啦】🔔🔔失踪的大公夫人竟然留下了一个女儿，直到逃跑的雪豹宝宝找到爸爸！整个黑豹家族震惊了！——《黑豹家族的雪豹宝宝》第1-26话 #漫画解说 #漫画 #元气动画 #元气动漫,2025-06-09,123776,https://i.ytimg.com/vi/q--XJfvkah8/hqdefault.jpg
アニメ・漫画解説,UC4x9O8e2sgSjHNbo3gx5UIw,デンノコ天使ちゃんねる【漫画・アニメ考察】,55100,5万人以上,1678620,I1AgUIIlA8k,【ジークアクス】第11話「メビウスの輪」が全てだった件。アルファ殺したちの本当の意味とマチュの異常性がえぐすぎた【第11話】【最終回の直前】『機動戦士Gundam GQuuuuuuX（ジークアクス）』,2025-06-18,289922,https://i.ytimg.com/vi/I1AgUIIlA8k/hqdefault.jpg
アニメ・漫画解説,UCdg0mhAxvYpw9t8J5tA7TjQ,动漫叨叨叨Cartoon,448000,5万人以上,1536420,QvTwGkPXseo,叨叨日漫💖💖【三季完整版】夢想成為劍士，但因為團隊裏的青梅竹馬同為劍士，而改職成為賦予術士，後來竟因「泛而不精」的理由而被身為青梅竹馬的劍聖奧利佛驅逐，他可是萬能者！《泛而不精的我被逐出了勇者队伍》,2025-06-03,46571,https://i.ytimg.com/vi/QvTwGkPXseo/hqdefault.jpg
アニメ・漫画解説,UCgTDck8fPsLGQcJIYhdUCvw,ドロピザ 【Drop the Pizza】,1060000,5万人以上,1522650,dFPxjfaMpok,【ワンピースネタバレ】マジで分かっちゃいました。285,2025-06-22,723119,https://i.ytimg.com/vi/dFPxjfaMpok/hqdefault.jpg
アニメ・漫画解説,UCvI2EMZVgPoLpbLeGMy3xQQ,球球说漫,252000,5万人以上,1380604,MrzNeYJZHfs,💥完结韩漫《玩物》1~48合集 追求施虐快感的她，為了替收留自己的繼父報仇，決定踏入校園，修理那些施暴於他人的霸凌份子！這些人，將如何成為她的掌上玩物呢？#qqhm #動漫 #热血 #冒险 #战斗,2025-06-03,146006,https://i.ytimg.com/vi/MrzNeYJZHfs/hqdefault.jpg
アニメ・漫画解説,UCG127CoLevCc8JrYxyrGMYw,オタキックス【岡田斗司夫 切り抜き】-アニメ漫画専科-,50900,5万人以上,1136081,UfSnsmf7-mk,【国分太一 コンプラ違反】※芸能界激震の緊急事態!!今芸能界で起こっていることを解説！【ジャニーズ/TOKIO/日テレ/岡田斗司夫/切り抜き/テロップ付き/For education】,2025-06-21,278112,https://i.ytimg.com/vi/UfSnsmf7-mk/hqdefault.jpg
